Component,Eigenvalue,Explained Variance (%),Cumulative Variance (%)
Dim 1,49.30044997594212,18.979832649852018,18.979832649852018
Dim 2,33.69948188690383,12.973725937841833,31.95355858769385
Dim 3,29.7203066716171,11.441811326363931,43.39536991405778
Dim 4,24.958848263453547,9.608731023845902,53.00410093790369
Dim 5,22.95904420420305,8.83884055843248,61.84294149633617
Dim 6,22.142018461901873,8.524299578237276,70.36724107457344
Dim 7,20.729316919699954,7.980433571572741,78.34767464614619
Dim 8,19.154837110882177,7.374285690640314,85.72196033678651
Dim 9,18.726837041752848,7.209512961584823,92.93147329837133
Dim 10,18.360622745531572,7.068526701628676,100.0
